image,base_caption,lora_caption,given_caption
1215334959_b1970965f7.jpg,a group of people sitting on a bench near the beach,A group of people sit on a concrete wall near a beach .,A family sits on a bench near a beach .
1220401002_3f44b1f3f7.jpg,two young girls playing frisbee in a park,Two girls are playing Frisbee in a park .,Two children are laughing in the grass .
1224851143_33bcdd299c.jpg,a young boy sitting in a chair with a spoon in his mouth,A boy in a green shirt is holding a spoon in his mouth .,A boy eats with a spoon .
1232148178_4f45cc3284.jpg,a little girl smiling,A blonde haired child is playing on a playground .,A baby girl playing at a park .
1237985362_dbafc59280.jpg,a woman holding a child,A girl in a blue shirt is playing with bubbles .,A lady holds a little girl who is trying to catch bubbles .
123997871_6a9ca987b1.jpg,a group of girls playing a game of lacrosse,A group of girls playing lacrosse .,Girls wearing sports uniforms and eye protection .
1248357227_2b4175fc39.jpg,a couple of people standing on the edge of a body of water,A man and a woman are standing on a dock in a lake .,The kids play in the wooded area near the water .
1248940539_46d33ed487.jpg,a group of kids on a beach playing with a frisbee,A group of children are playing in the sand .,Three children are playing in sand near to the beach .
124972799_de706b6d0b.jpg,a dog and a cat fighting over a bone,A black and brown dog and a brown and white cat fighting .,A cat under the bench hissing with a dog growling and trying to get it .
1258913059_07c613f7ff.jpg,two people sitting at a table under an umbrella,A group of people sit under an umbrella in front of a red and white building .,A couple of people sit outdoors at a table with an umbrella and talk .
1262583859_653f1469a9.jpg,a man riding a bicycle,A bald man riding a bicycle .,a biker enjoys a coffee .
1267711451_e2a754b4f8.jpg,a black and white dog carrying a stick,A black and white dog carries a stick in its mouth .,A black and white dog carrying a large stick
127450902_533ceeddfc.jpg,a group of people walking in the snow on a mountain,A group of people are hiking up a snowy mountain at sunset .,A winter landscape with four people walking in the snow .
127488876_f2d2a89588.jpg,two people standing on a grassy field,Two men are standing on a grassy field .,"One man in red shirt and black pants with a man in white shirt and tan shorts , golfing ."
127490019_7c5c08cb11.jpg,a woman playing golf on a sunny day,A girl in a blue shirt and shorts is playing golf .,A girl is getting ready to swing the club .
1282392036_5a0328eb86.jpg,a group of people dressed in medieval clothing,A group of people dressed in medieval clothing .,A group of people in costume at a renaissance fair .
1287073593_f3d2a62455.jpg,a man pulling a sled of dogs down a snow covered slope,A man is pulling a sled full of dogs .,A group of dogs pull a person on a dog sled up a hill .
1287475186_2dee85f1a5.jpg,a young boy splashing in a swimming pool,A boy is splashing in a pool .,A boy sitting in water .
1295698260_e10c53c137.jpg,a group of people standing around a woman with a shopping cart,A group of people are standing in a crowd .,"A crowd of people look at something out of frame , one man takes a picture ."
1298295313_db1f4c6522.jpg,a boy jumping into the water from a dock,A boy in a life jacket jumps into the water .,A blonde boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .
1303548017_47de590273.jpg,a woman standing on a train platform,A girl in a green tank top stands on a railroad track .,A girl poses on the train tracks near a station
1306145560_1e37081b91.jpg,a dog swimming in the water with a ball in its mouth,A black dog is swimming in the water with a ball in its mouth .,A black dog carries an orange tennis ball in his mouth as he swims .
1311388430_4ab0cd1a1f.jpg,a person hanging from a power pole on the side of the road,A man is hanging from a power pole .,A person hanging from a telephone pole near the mountains .
1317292658_ba29330a0b.jpg,a young boy playing in the rain,A boy in swim trunks is jumping in a sprinkler .,a boy enjoys a rain shower .
1319634306_816f21677f.jpg,a large brown dog sitting on top of a grassy hill,A brown dog is sitting on a grassy hill .,A brown dog is sitting in some long grass .
1322323208_c7ecb742c6.jpg,two children playing on the beach,A boy and girl are playing on the beach at sunset .,A boy and a girl playing on the beach .
132489044_3be606baf7.jpg,a man sleeping on a train,A man in a suit is sleeping on a train .,A man sleeping with a bag on his lap on public transportation
1329832826_432538d331.jpg,"a neon sign that says ""broadway rite aid""",A neon sign in front of a pharmacy .,"People stand on a street corner at dusk , with a pharmacy in the background ."
1332722096_1e3de8ae70.jpg,two women in green rain boots,A group of girls in green rain boots are standing on a sidewalk .,Three women standing on a city street .
1332823164_c70a5d930e.jpg,a person standing in the ocean with a kite,A boy in a red shirt stands on the shore of the ocean .,A girl standing in the ocean
1339596997_8ac29c1841.jpg,three women wearing headscarves,Three women in headscarves are standing in a park .,three females wearing head scarves standing together
1343426964_cde3fb54e8.jpg,a little boy standing on the beach with a kite,A boy in sunglasses stands in front of a colorful kite .,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .
1346051107_9cdc14e070.jpg,a man playing a saxophone next to a yellow fire hydrant,A man playing a saxophone next to a yellow fire hydrant .,A man is playing a saxophone next to a fire hydrant .
134724228_30408cd77f.jpg,two women walking on a dirt road,Two girls are walking down a dirt road .,Two girls are walking down a dirt road in a park .
1348304997_afe60a61df.jpg,a young girl jumping on a trampoline,A girl in a white shirt is jumping on a trampoline .,A barefoot red-headed girl jumping over a rail .
1350811702_2ce7cfd0c5.jpg,a young boy is fishing on a pier,A boy in a blue shirt is fishing on a pier .,A young boy casting his fishing line off a pier
135235570_5698072cd4.jpg,a man throwing a frisbee in front of the washington monument,A man throws a Frisbee in front of a monument .,A man in a field backed by american flags .
1352410176_af6b139734.jpg,a little girl standing on top of wooden posts on the beach,A girl in a white shirt and orange skirt is climbing over wooden posts on the beach .,A blonde girl is stepping on vertical logs in the sand .
1355935187_2c99648138.jpg,the dog is white,A white dog is walking under a blue and white tent .,A fluffy white dog is coming out of a blue striped obstacle shute .
1356796100_b265479721.jpg,a young girl peeking through the leaves of a tree,A girl in a floral dress is hiding behind leaves .,A girl in a flowered dress peaking through some leaves .
136552115_6dc3e7231c.jpg,a man riding a bike in the air,A man on a mountain bike is jumping over a rock .,A helmeted man jumping off a rock on a mountain bike .
136644343_0e2b423829.jpg,a young boy on a tire swing,A boy in a blue shirt swings on a tire swing .,A boy rides on a tire swing .
136644885_f7d2bbf546.jpg,a person on a rope bridge in the woods,A man and a woman are on a ropes course .,A group of people walking across a rope bridge .
136886677_6026c622eb.jpg,a man and a woman in a canoe paddling down a river,A man and a woman are paddling a canoe down a river .,A large man sits in the back of a canoe with another man in front on a river .
1370773415_967b1ffde1.jpg,two people standing outside of a restaurant at night,A man and a woman are standing outside a restaurant .,A man and a woman standing outside a restaurant .
1377668044_36398401dd.jpg,a man holding a frisbee,A brown dog is jumping up to catch a Frisbee .,A dog jumping in the air to retrieve a stick from a man .
1378557186_4bd1da6834.jpg,a man aiming a gun at a brown and white dog,A man is aiming a gun at a brown and white dog .,"A man , a gun , and a dog ."
1386964743_9e80d96b05.jpg,a boy standing on a dirt road in a field of sunflowers,A boy is standing in a field of sunflowers .,a boy is playing with a camera whilst standing on a dirt track .
138718600_f430ebca17.jpg,two people sitting on the grass next to two bikes,Two girls are sitting on the grass next to two bikes .,Two bicycles are standing behind two people sitting on the grass near a body of water .
1387443857_602ab6f9bf.jpg,a man sitting on a wall,A man in a blue shirt is sitting on a concrete wall .,An old man is sitting on a stone bench .
1387785218_cee67735f5.jpg,a little girl pushing a doll in a stroller,A little girl pushing a doll in a stroller .,A child pushes a doll in a baby carriage .
1388970365_162edcceb4.jpg,three dogs playing in a field,Three dogs are playing in the grass .,A brown dog and two black dogs in an overgrown grassy field .
1389264266_8170bc1c54.jpg,two women standing next to each other,Two girls in black and pink are talking .,A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her .
1392272228_cf104086e6.jpg,a dog in the water with a stick in its mouth,A black dog carries a stick in its mouth .,A black dog carrying an object out of the water .
1394368714_3bc7c19969.jpg,a man bending down to look at a dog,A man in grey sweatpants is bending down to pick something up from the ground .,A dog waits as his owner rummages through a collection of stuff .
1396064003_3fd949c9dd.jpg,a man wakeboarding in the water,A man wakeskis in the water .,A man hangs upside in the air over the water .
1402640441_81978e32a9.jpg,a boy jumping to catch a soccer ball on a beach,A boy in a swimsuit catches a soccer ball on the beach .,A boy in red and blue shorts is trying to catch a soccer ball while running in sand .
1404832008_68e432665b.jpg,a man riding a water ski,A shirtless man on a water skier .,a man in a harness being dragged across the water
140526327_3cb984de09.jpg,a rock climber on the side of a mountain with a city in the background,A man in a red helmet is climbing up a rock face .,A man looks up at the cliff he is climbing near the beautiful blue ocean .
1408958345_68eea9a4e4.jpg,a little girl running on the beach,A girl in a colorful swimsuit is running on the beach .,A girl smiles as she runs across the white sandy beach in her swimsuit .
1410193619_13fff6c875.jpg,a little girl sitting on a couch in a living room,A baby in a blue dress is climbing on a red couch .,A baby stands on the side of a couch and knocks over a lamp .
1415591512_a84644750c.jpg,a young girl throwing a frisbee in the grass,A girl in an orange shirt is swinging a bat .,A girl in boots is active in the grass .
1417031097_ab656bc4bd.jpg,the ride is red,A group of people are sitting on a roller coaster .,A person is laughing on a roller coaster ride .
141755292_7a0b3364cf.jpg,a woman handing a plate of food to a man,A man and a woman are serving food at a buffet .,A man and woman are at a catered dinner getting food .
1420060118_aed262d606.jpg,a person in a ninja costume jumping in the air,A boy in a ninja costume is jumping .,A child dressed as a ninja is jumping through the air under a large tree .
1425069308_488e5fcf9d.jpg,a dog jumping in the air to catch a frisbee,A black and white dog is jumping up to catch a blue ball .,A dog on two legs with its mouth opened toward a blue ball in the air .
1425919702_ddb761aeec.jpg,a man sitting in a chair,A man in a wheelchair sits in front of a crowd .,A crowd of people are sitting in seats in a sports ground bleachers .
1426014905_da60d72957.jpg,a man standing on a bridge looking at his cell phone,A man in a white shirt is standing on a balcony overlooking the ocean .,A man in a suit along the railing of a balcony that has a very high view .
1427391496_ea512cbe7f.jpg,a young boy standing on a wooden board,A boy in a blue shirt is standing on a wooden platform .,A child in a black shirt standing on a wooden dock near a picnic table .
1429546659_44cb09cbe2.jpg,two dogs playing with a stick,A black and a tan dog are playing with a stick .,A white dog and a black dog in a field .
1432179046_8e3d75cf81.jpg,a man throwing a frisbee in a parking lot,A man is throwing a Frisbee in a parking lot .,A man in the near distance is pointing to a silver sedan near him .
1433142189_cda8652603.jpg,a person with a backpack walking on a grassy hill,A man with a backpack is walking on a grassy hill .,A hiker is walking a treeless path up a hill .
143552829_72b6ba49d4.jpg,a person riding a motorcycle through a stream of water,A man in a red jacket rides a dirt bike through a stream .,A boy in a black helmet and red long sleeve shirt rides his motorbike over a rocky stream .
143688283_a96ded20f1.jpg,a man on a rock climbing,A man in a white shirt is climbing a rock .,a man in a harness climbing a rock wall
1440024115_129212c988.jpg,a dog jumping in the air to catch a frisbee,A dog catches a Frisbee in midair .,A man plays Frisbee with his dog .
1446053356_a924b4893f.jpg,two young girls are playing soccer on a field,A girl in black and a girl in white are playing soccer .,Children participate in a sport on a green field while in uniforms .
1456393634_74022d9056.jpg,a person doing a handstand on the beach,A boy does a handstand on the beach .,A boy doing a handstand on the beach .
145721498_a27d2db576.jpg,a man paddling a kayak,A man in a blue kayak paddles through a wave .,A man in a blue canoe battling through rough waves
1459250022_bf1eddad11.jpg,a group of people playing music in a building,A group of people playing music in a building .,A band of cellos and violins playing in front of a crowd at The Market Gallery .
146098876_0d99d7fb98.jpg,a group of school children walking down a street,A group of children in school uniforms walk down a street .,A boy and three girls in blue school uniforms walk down a dirt-covered road .
1461667284_041c8a2475.jpg,a man sitting on a stage,A man is playing a guitar on a street corner .,A guitarist plays while people play with hula-hoops in the background .
1467533293_a2656cc000.jpg,two young girls climbing a playground slide,A girl in a pink shirt and a girl in a pink shirt are climbing a red and yellow playground structure .,The two girls are playing on a yellow and red jungle gym .
1468103286_96a6e07029.jpg,a man holding a baseball bat,A baseball player holding a bat in front of a crowd .,A Baseball batter raising his arm .
1468389504_c724bdcad0.jpg,two young girls on a playground,A girl in a pink shirt and a girl in a white shirt on a playground .,Two girls in pink are playing on yellow playground bars .
1468962616_5803b4397f.jpg,a young boy in a pool,A boy in a swimming pool is playing with a water gun .,A boy in a pool squirts a bright green water gun .
1469000260_5d473c8283.jpg,the dog is brown,A brown dog is sitting on the ground .,A big tan dog lays on the ground looking to the side .
1470536919_1f3fd6c65a.jpg,a dog chasing a small dog on a dirt road,A black dog and a white dog are walking on a dirt path .,A little black dog is running beside a large brown and white dog with a large rope in its mouth .
1472230829_803818a383.jpg,a group of people rafting down a river,A group of people are rafting down rapids .,"A group of people in a boat , white water rafting ."
1472249944_d887c3aeda.jpg,a woman sitting on a rock,A girl in a red jacket is sitting on a stone wall .,A girl squats on a rock while another stands by her .
1472882567_33dc14c8b6.jpg,a group of people skiing down a snowy slope,A group of skiers are climbing a snowy hill .,a group of skiers going up a mountain
1476241331_2f43b67aed.jpg,two boys playing with a water fountain,A boy in a blue shirt and a boy in a striped shirt are playing with a water fountain .,A boy and a toddler boy stand by a water fountain .
1478268555_7e301fc510.jpg,a shirtless man is climbing a rock wall,A man is climbing a rock face .,A bare backed climber is attached to the rock face on a pink safety rope .
1479857177_9d4a6f38fd.jpg,a man wearing a scuba mask,A scuba diver in a black wetsuit holding a box .,A man in a scuba suit holds a box .
1490213660_9ea45550cf.jpg,a dog in the water,A brown dog is wading through the water .,A dog is trotting through a shallow stream
1490670858_e122df2560.jpg,a boy sitting on a slide at a playground,A boy in a blue shirt is sliding down a red slide .,A child on a red slide .
1499581619_a5f65a882c.jpg,a man kissing a woman on the beach,A man and a woman kiss on the beach .,A couple dressed in hoodies kissing on the beach .
1501297480_8db52c15b0.jpg,a man and a boy playing with a screen door,A boy and a girl are playing outside .,A boy tries to put a screen on a window .
1501985304_8c50093004.jpg,a woman holding a child in a swimming pool,A boy in a blue swimsuit is being held up by a woman .,A child swims with a woman .
150387174_24825cf871.jpg,a person riding a mountain bike on rocks,A man in a camouflage uniform is riding a mountain bike through a stream .,A man dressed in camouflage riding a motorbike
1509786421_f03158adfc.jpg,a boy pointing at something,A boy pointing at a man .,A boy points .
1510078253_96e9ec50e7.jpg,a dog is playing with a ball outside,A brown dog is playing with a ball .,A dog trying to catch a ball .
1517721825_10176d0683.jpg,three dogs running in the water,Three dogs are running in the water .,"A brown , black , and tan dog run in the ocean ."
1523984678_edd68464da.jpg,a dog running with a tennis ball in its mouth,A black and white dog runs with a tennis ball in its mouth .,A dog is running with a yellow tennis ball and wearing a red harness .
1526325728_74eb4153d8.jpg,a dog on the beach with a frisbee in its mouth,A brown dog is running on the beach .,A grey colored dog walks in wet sand at a beach .
1528205014_1323aa9dfd.jpg,a man in a yellow shirt,A man in a yellow shirt and blue shorts is smiling .,A man in a yellow jacket with many colorful wristbands is smiling .
1536774449_e16b1b6382.jpg,a large crowd of people at an outdoor concert,A crowd at a concert .,"A boxy building , A group of trees , a church at sunset ."
1547883892_e29b3db42e.jpg,a woman sitting at a table with a cup of coffee and a book,A woman in a hat sitting at a table with a cup of coffee .,A girl is reading while drinking Starbuck 's coffee .
154871781_ae77696b77.jpg,two people are playing frisbee in a field,Two boys are playing soccer in a grassy field .,Boys kicking soccer ball in the grass under a tree
1554713437_61b64527dd.jpg,a dog standing on a log,A dog is standing on a log in the woods .,A big hound dog walking on a log in the woods .
1561658940_a947f2446a.jpg,a little girl sitting on a swing in the yard,A girl in a purple shirt is sitting on a yellow swing .,A little girl in a swing laughs .
1570723692_3a2b064d43.jpg,two dogs and a cat in the grass,A brown dog is licking another dog 's face .,A large orange dog and a little orange dog with another third dog in the grass .
1572532018_64c030c974.jpg,a group of kids on the beach playing with a frisbee,A group of boys running on the beach .,children playing at the beach
1579206585_5ca6a24db0.jpg,a woman playing a guitar in a dark room,A girl in a black shirt is playing a guitar .,A girl is playing an electric guitar in front of an amplifier .
1579798212_d30844b4c5.jpg,a young boy in a bathtub,A boy in a bubble bath .,a child is laying in a bubble bath holding a yellow scrubbing brush up to his mouth as if singing into a microphone .
1580671272_3e99d94305.jpg,a boy is feeding a horse a bucket of water,A boy is feeding a horse a bucket of water .,A boy holds a red bucket up to a pony .
1584315962_5b0b45d02d.jpg,a man standing in the snow next to tents,A man in an orange jacket stands outside of a tent in the snow .,A man holds a flag next to a snowbound campsite .
159712188_d530dd478c.jpg,a woman walking by a pond in a park,A girl walks by a pond in a park .,A woman is walking past an artificial waterfall .
160792599_6a7ec52516.jpg,a group of people standing on a beach looking at the ocean,A group of people are standing on the beach looking at the ocean .,A group of people stand in the sand looking out at the water .
1626754053_81126b67b6.jpg,a black and white dog catching a frisbee,A black and white dog catches a Frisbee in the grass .,A black and white dog is going after an orange Frisbee .
1643915227_9f48068772.jpg,a busy city street with lots of people and cars,A busy city street .,A group of people are walking down the sidewalk of a big city .
1659358141_0433c9bf99.jpg,a dog is walking in the grass,A brown dog is standing in the grass with its tongue hanging out .,A brown dog is panting hard on grass during a sunny day .
1663454406_5e2cf8c5bb.jpg,a woman holding a sign,A group of people are holding a sign that says don't be a hater .,A man carries a sign while standing in the rain .
166433861_70b66cd381.jpg,a person riding a motorcycle down a street,A man on a blue and red motorcycle is turning a corner .,A motorcycle racer leans his bike .
166507476_9be5b9852a.jpg,two large reptiles in the water,Two crocodiles fighting in the water .,The iguanas wrestled along the rocky water bank .
1674612291_7154c5ab61.jpg,a dog jumping in the air with a frisbee in its mouth,A white dog is jumping in the air with a stick in its mouth .,A dog is jumping to catch a Frisbee and casts a perfect shadow .
1675679141_36c9bc2969.jpg,a man standing on a concrete wall,A man in a green jacket is fishing in the ocean .,A jacketed man with his back to the camera is overlooking the water .
1679557684_50a206e4a9.jpg,a dog is playing with a frisbee in the yard,A black dog and a white dog are playing in the yard .,a big black dog jumps in the air to catch the tennis ball in his mouth .
1679617928_a73c1769be.jpg,the dog is laying on the ground,A black and white dog is lying on the ground next to a yellow car .,A basset hound is leashed to the rearview mirror of a yellow and white vehicle
1680126311_b92a2e8e72.jpg,a young boy is trying to catch a soccer ball,A boy in a white shirt and blue and white soccer ball .,A boy hitting a soccer ball with his chest .
1682079482_9a72fa57fa.jpg,a little girl swinging on a swing,A girl in a purple shirt is swinging on a swing .,A little girl on a kid swing .
1691573772_1adef8e40e.jpg,a woman riding a bike on a city street,An asian woman rides her bike on the street .,A girl in a pink shirt is riding a bicycle in traffic .
170100272_d820db2199.jpg,a young girl is sitting on a slide in a park,A girl is playing on a slide in a park .,A child is on a slide .
1714316707_8bbaa2a2ba.jpg,a person standing in the snow holding an umbrella,A man in a red jacket is standing in the snow .,A boy in a red jacket smacks a snow covered tree with a stick .
172097782_f0844ec317.jpg,a man is water skiing on a lake,A man in a life jacket is water skiing .,A man in swim trunks and a red life vest jet skiing .
1731546544_9fbf14617b.jpg,a black dog jumping into a body of water,A black dog is jumping into a lake .,a black dog jumping through some water
1745110280_0cbff5e273.jpg,a large brown dog sitting in the grass,A brown dog is sitting in the woods .,A brown dog with a black collar stands next to a bush .
1764955991_5e53a28c87.jpg,a dog walking down a dirt road in the woods,A brown and white dog is walking down a dirt road .,A brown and white dog trotting down the road in autumn .
1765164972_92dac06fa9.jpg,red and white checkered shirt,A girl in a red and white plaid shirt .,"A girl with a nose ring , earring , and Mohawk ."
1772859261_236c09b861.jpg,the dog is in the water,A black and white dog is splashing through the water .,A black and white dog plays in the water .
1773928579_5664a810dc.jpg,a dog jumping over a ramp in front of a crowd,A brown dog jumps over a blue ramp .,A crowd is watching a dog climb up a staircase .
1786425974_c7c5ad6aa1.jpg,a woman petting a dog,A big dog and two small dogs are playing on the beach .,A large dog sniffing a human hand while a small dog is sniffing the large dog 's butt .
179009558_69be522c63.jpg,a little girl riding a bike next to a dog,A girl in a red shirt rides a red bike next to a dog .,A black and white dog lies on the ground next to a little girl on a red bicycle in the woods .
1797554350_20998753c0.jpg,a woman holding an umbrella,A woman holding an umbrella is running with another woman .,A jogger is being sheltered with an umbrella .
180094434_b0f244832d.jpg,a group of kids playing around a fountain in front of a building,Children play in a fountain in front of a building .,A few younger boys play around a fountain .
1801663973_5ad393caeb.jpg,a man and a woman sitting on a tree,A man and a woman are sitting on a tree trunk .,A girl laying on the tree with a boy kneeling before her .
1802092493_7b44fdb6b9.jpg,four children posing for a picture,A group of children pose for a picture .,Four young children dressed formally pose for a potrait with the two boys standing in front and the two girls smiling in the back .
180506881_de0f59770f.jpg,two people walking down the street with skateboards,A boy in a white shirt is holding a skateboard while another boy in a black shirt is walking behind him .,The camera focuses on two people 's legs .
1808370027_2088394eb4.jpg,a dog is swimming in the water near a waterfall,A dog is standing in the water near a waterfall .,A dog swims towards a waterfall .
1808504612_3508f3c9bb.jpg,two people sitting on top of a tree in the middle of the forest,A boy and a girl are climbing a tree .,Children climbing huge tree .
1836335410_de8313a64e.jpg,a man dressed in a star wars costume holding a light saber,A man dressed as a Jedi is holding a blue light saber .,A man dressed in brown holding a light saber .
186346360_541047336f.jpg,a woman sitting on a rock overlooking a body of water,A girl in a bikini poses on a rock overlooking a lake .,A girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake .
1874617189_e85d3f4326.jpg,a group of kids playing on the beach,A group of children are digging in the sand at the beach .,The three people are squatting by the water .
1897025969_0c41688fa6.jpg,the dog is black,A black dog and a brown dog are fighting on the beach .,A black dog and a tan dog fighting .
189721896_1ffe76d89e.jpg,a man on a rock climbing,A man in a red shirt is climbing a rock face .,"A man rock climbs up a very tall cliff , with a blue rope behind him ."
191003283_992257f835.jpg,a woman walking with a child on a skateboard,A little boy in a red tank top is walking with a woman .,A little blond boy and a young woman in jeans walk through a plaza .
191003285_edd8d0cf58.jpg,a man and a little girl sitting on the ground,A man and a little girl are sitting on the sidewalk .,A man and a girl sit on the ground and eat .
1917265421_aeccf1ca38.jpg,a group of people standing in a field,A group of people standing in a field .,Children participate in a sport involving swine among spectators .
1926129518_4350f4f552.jpg,two dogs playing with a frisbee in a yard,A black dog and a brown dog are playing in the grass .,"A spotted dog , a black dog , and a puppy converging on a tennis ball ."
1962729184_6996e128e7.jpg,a group of people standing on the side of the road,A group of people are standing in front of a building .,A girl kisses her mother goodbye before she waits with the other children to start school .
197107117_4b438b1872.jpg,a person climbing a rock face with a rope,A climber on a rock face .,A mountain climber looks down from the summit
197504190_fd1fc3d4b7.jpg,the grass is green,Two people are playing soccer on a grassy field .,Two boys in a field kicking a soccer ball .
1980882959_9a161f3469.jpg,a group of people riding bikes and carrying luggage,A group of people on bikes are carrying a lot of stuff .,A group of people ride bikes while holding onto large trash bags .
1982852140_56425fa7a2.jpg,a woman and a child are playing frisbee on the beach,A man and a child are running on the beach .,An adult and a child run on the beach .
1984936420_3f3102132b.jpg,a boy and a girl are fishing in a river,A boy and girl are fishing in a stream .,a boy caches a fish while a girl points at the fish .
1991806812_065f747689.jpg,two boxers in action during a boxing match,A man in boxing shorts kicks another man in the chest .,a boxer punches a boxer in the face .
199463720_329a802206.jpg,a man and a woman riding bicycles,A man and a woman are riding bicycles .,A man and woman ride bicycles next to each other .
1998457059_c9ac9a1e1a.jpg,a group of people in the water at the beach,A boy on a yellow surfboard falls into a wave .,a body boarder is being dumped on the beach by a wave whilst other surfers are standing around in the water .
1999444757_1b92efb590.jpg,a person in a karate uniform,A girl in a white uniform is practicing karate .,A girl in white is swinging a sword .
